name,cuisines,avg_cost_for_two,has_online_delivery,has_table_booking,price_range,aggregate_rating,rating_text,votes,city,locality,latitude,longitude,currency,price_label,primary_cuisine,rating_cat,delivery_label
Pure Punjabi,"North Indian, Fast Food",700,0,0,2,3.5,Good,56,New Delhi,Vikaspuri,28.6284455000,77.0694630000,Rs.,Moderate,North Indian,Good,No Delivery
South Indian Cafe,"South Indian, Chinese",350,0,0,1,3.3,Average,42,New Delhi,Vikaspuri,28.6275705000,77.0698477000,Rs.,Budget,South Indian,Average,No Delivery
Spinns Resto-Bar,"North Indian, Chinese",800,0,1,2,2.6,Average,43,New Delhi,Vikaspuri,28.6391940000,77.0747491000,Rs.,Moderate,North Indian,Poor,No Delivery
Cafe Amigo,Cafe,400,0,0,1,3.0,Average,41,New Delhi,Vikaspuri,28.6390282044,77.0760481060,Rs.,Budget,Cafe,Average,No Delivery
Tequila Express,"North Indian, Chinese",1150,1,1,3,3.4,Average,40,New Delhi,Vikaspuri,28.6397834000,77.0752887000,Rs.,Premium,North Indian,Average,Has Delivery
Channi Pishori Chicken,Mughlai,400,0,0,1,3.3,Average,55,New Delhi,Vikaspuri,28.6420433000,77.0798778000,Rs.,Budget,Mughlai,Average,No Delivery
THS - The Hunger Street,"North Indian, Mughlai, Chinese",600,0,0,2,3.2,Average,49,New Delhi,Vikaspuri,0.0000000000,0.0000000000,Rs.,Moderate,North Indian,Average,No Delivery
Kathi Express,"Fast Food, Chinese",500,0,0,2,2.6,Average,33,New Delhi,Vikaspuri,28.6274882683,77.0699296519,Rs.,Moderate,Fast Food,Poor,No Delivery
Chetana Bakes,Bakery,400,0,0,1,3.0,Average,6,New Delhi,Vikaspuri,28.6445722000,77.0701624000,Rs.,Budget,Bakery,Average,No Delivery
Your's Chole Bhature,Street Food,100,0,0,1,2.6,Average,42,New Delhi,Vikaspuri,28.6386139000,77.0784813000,Rs.,Budget,Street Food,Poor,No Delivery
Delhi 6,North Indian,350,0,0,1,2.6,Average,44,New Delhi,Vikaspuri,28.6365514000,77.0710682000,Rs.,Budget,North Indian,Poor,No Delivery
True Blue,"North Indian, Chinese",1100,0,1,3,3.2,Average,31,New Delhi,Vikaspuri,28.6391275000,77.0745243000,Rs.,Premium,North Indian,Average,No Delivery
New Madras Cafe,"South Indian, Fast Food",300,0,0,1,3.1,Average,34,New Delhi,Vikaspuri,28.6383481000,77.0789759000,Rs.,Budget,South Indian,Average,No Delivery
Moti Mahal Delux,North Indian,1000,1,1,3,3.6,Good,29,Gurgaon,"DT Mega Mall, DLF Phase 1",28.4762680000,77.0930940000,Rs.,Premium,North Indian,Good,Has Delivery
Viva Hyderabad,"Biryani, North Indian",600,1,0,2,2.5,Average,69,Gurgaon,"DLF Mega Mall, DLF Phase 1",28.4756627000,77.0931153372,Rs.,Moderate,Biryani,Poor,Has Delivery
Subway,"American, Fast Food, Salad, Healthy Food",500,1,0,2,3.2,Average,92,Gurgaon,"Qutab Plaza, DLF Phase 1",28.4715582000,77.1024003000,Rs.,Moderate,American,Average,Has Delivery
Wai Yu Mun Ching,"Chinese, Thai",800,1,0,2,3.5,Good,112,Gurgaon,"DLF Mega Mall, DLF Phase 1",28.4756718362,77.0931904390,Rs.,Moderate,Chinese,Good,Has Delivery
Domino's Pizza,"Pizza, Fast Food",700,0,0,2,2.8,Average,70,Gurgaon,"Qutab Plaza, DLF Phase 1",28.4719659000,77.1024452000,Rs.,Moderate,Pizza,Poor,No Delivery
KFC,"American, Fast Food, Burger",500,1,0,2,2.2,Poor,73,Gurgaon,"DLF Mega Mall, DLF Phase 1",28.4765079373,77.0935143158,Rs.,Moderate,American,Poor,Has Delivery
Colonel's Kababz,"North Indian, Mughlai",900,1,1,2,3.0,Average,61,Gurgaon,"Qutab Plaza, DLF Phase 1",28.4725209000,77.1018865000,Rs.,Moderate,North Indian,Average,Has Delivery
Abar Khabo,Bengali,550,1,0,2,3.6,Good,86,Gurgaon,"DT Mega Mall, DLF Phase 1",28.4757991527,77.0930771157,Rs.,Moderate,Bengali,Good,Has Delivery
Angels in my Kitchen,"Bakery, Desserts, Fast Food",350,1,0,1,3.1,Average,84,Gurgaon,"Qutab Plaza, DLF Phase 1",28.4722814000,77.1019957000,Rs.,Budget,Bakery,Average,Has Delivery
Palmyra - The Bristol Hotel,"Continental, North Indian",2500,0,1,4,3.3,Average,57,Gurgaon,"The Bristol Hotel, DLF Phase 1",28.4799845000,77.0923077000,Rs.,Luxury,Continental,Average,No Delivery
Naushi's Kitchenette,"Bakery, Beverages",500,0,0,2,3.4,Average,57,Gurgaon,"Qutab Plaza, DLF Phase 1",28.4721184061,77.1025456488,Rs.,Moderate,Bakery,Average,No Delivery
Halki Aanch,"North Indian, Chinese",700,1,0,2,3.3,Average,64,Gurgaon,"Shopping Mall, DLF Phase 1",28.4656305000,77.0997223000,Rs.,Moderate,North Indian,Average,Has Delivery
The Lost Mughal,"North Indian, Mughlai, Biryani",700,1,0,2,3.8,Good,43,Gurgaon,"DT Mega Mall, DLF Phase 1",28.4756520903,77.0933520421,Rs.,Moderate,North Indian,Good,Has Delivery
Rawleaf,"Healthy Food, Salad",700,1,0,2,3.6,Good,38,Gurgaon,DLF Phase 1,28.4694359000,77.0957016000,Rs.,Moderate,Healthy Food,Good,Has Delivery
Kangri,Kashmiri,750,0,0,2,3.4,Average,84,Gurgaon,DLF Phase 1,28.4612138889,77.0793527778,Rs.,Moderate,Kashmiri,Average,No Delivery
Burmese Kitchen Plus,"Burmese, Chinese, Thai",800,0,0,2,3.4,Average,65,Gurgaon,DLF Phase 1,28.4778552000,77.1002873000,Rs.,Moderate,Burmese,Average,No Delivery
Pita Pit,"Healthy Food, Salad",600,1,0,2,3.5,Good,56,Gurgaon,DLF Phase 1,28.4778552000,77.1002873000,Rs.,Moderate,Healthy Food,Good,Has Delivery
Italiano,Italian,1500,0,0,3,3.0,Average,49,Gurgaon,"DLF Mega Mall, DLF Phase 1",28.4757322526,77.0932350308,Rs.,Premium,Italian,Average,No Delivery
Barista,Cafe,650,0,0,2,3.3,Average,41,Gurgaon,"Qutab Plaza, DLF Phase 1",28.4715146000,77.1022778000,Rs.,Moderate,Cafe,Average,No Delivery
Gopala,"Mithai, Street Food",250,0,0,1,3.4,Average,37,Gurgaon,"Shopping Mall, DLF Phase 1",28.4658365000,77.0998689000,Rs.,Budget,Mithai,Average,No Delivery
Sutra Gastropub,"Mediterranean, European, American, North Indian",2300,0,0,4,3.8,Good,1046,Gurgaon,"Cyber Hub, DLF Cyber City",28.4948147000,77.0883282000,Rs.,Luxury,Mediterranean,Good,No Delivery
SodaBottleOpenerWala,"Parsi, Iranian",1300,0,0,3,4.0,Very Good,2843,Gurgaon,"Cyber Hub, DLF Cyber City",28.4948320000,77.0885080000,Rs.,Premium,Parsi,Very Good,No Delivery
Hard Rock Cafe,"Mediterranean, Mexican, North Indian, American",2500,0,1,4,4.1,Very Good,1949,Gurgaon,"Cyber Hub, DLF Cyber City",28.4949217000,77.0885080000,Rs.,Luxury,Mediterranean,Very Good,No Delivery
Vapour Pub & Brewery,"Finger Food, Continental, North Indian, Italian, Chinese",1500,0,0,3,3.7,Good,1902,Gurgaon,"MGF Mega City Mall, MG Road",28.4798031000,77.0892792000,Rs.,Premium,Finger Food,Good,No Delivery
Dhaba By Claridges,North Indian,2000,1,1,4,4.0,Very Good,1658,Gurgaon,"Cyber Hub, DLF Cyber City",28.4953871000,77.0886879000,Rs.,Luxury,North Indian,Very Good,Has Delivery
Pirates of Grill,"North Indian, Continental, Mughlai, Asian",2000,0,1,4,4.1,Very Good,2806,Gurgaon,"MGF Mega City Mall, MG Road",28.4799415000,77.0893563000,Rs.,Luxury,North Indian,Very Good,No Delivery
Made In Punjab,"North Indian, Mughlai",1500,0,1,3,4.0,Very Good,1595,Gurgaon,"Cyber Hub, DLF Cyber City",28.4951096000,77.0885980000,Rs.,Premium,North Indian,Very Good,No Delivery
Cafe Delhi Heights,"Continental, American, Italian, Seafood, North Indian, Cafe",2000,0,0,4,4.0,Very Good,1840,Gurgaon,"Cyber Hub, DLF Cyber City",28.4952079000,77.0886879000,Rs.,Luxury,Continental,Very Good,No Delivery
Nando's,"Portuguese, African",1200,1,1,3,4.0,Very Good,1730,Gurgaon,"Cyber Hub, DLF Cyber City",28.4954941000,77.0888677000,Rs.,Premium,Portuguese,Very Good,Has Delivery
Goli Vada Pav No. 1,Street Food,150,1,0,1,3.1,Average,83,Gurgaon,DLF Phase 3,28.4935145000,77.0934537000,Rs.,Budget,Street Food,Average,Has Delivery
Punjabi Zaika,"North Indian, Mughlai, Chinese",500,1,0,2,3.2,Average,74,Gurgaon,DLF Phase 3,28.4872602000,77.1048728000,Rs.,Moderate,North Indian,Average,Has Delivery
Bake-a-boo,Bakery,200,1,0,1,3.7,Good,55,Gurgaon,DLF Phase 3,28.4902571238,77.0962334052,Rs.,Budget,Bakery,Good,Has Delivery
Crudo Juicery,"Beverages, Salad, Beverages",400,1,0,1,4.3,Very Good,33,Gurgaon,DLF Phase 3,28.4871499000,77.1049154000,Rs.,Budget,Beverages,Very Good,Has Delivery
Coldpress Company,"Healthy Food, Juices, Salad, Italian, Continental",500,1,0,2,4.0,Very Good,34,Gurgaon,DLF Phase 3,28.4898339970,77.0932113776,Rs.,Moderate,Healthy Food,Very Good,Has Delivery
Kusum Rolls,"Fast Food, Chinese",350,1,0,1,3.1,Average,71,Gurgaon,DLF Phase 3,28.4907443000,77.0926920000,Rs.,Budget,Fast Food,Average,Has Delivery
Happy Beings,"North Indian, Mughlai, Chinese",500,1,0,2,3.5,Good,66,Gurgaon,DLF Phase 3,28.4906660000,77.0946270000,Rs.,Moderate,North Indian,Good,Has Delivery
Foodies Nation,"Chinese, North Indian",300,0,0,1,3.4,Average,19,Gurgaon,DLF Phase 3,0.0000000000,0.0000000000,Rs.,Budget,Chinese,Average,No Delivery
Aahar,"North Indian, South Indian, Chinese",400,1,0,1,2.0,Poor,60,Gurgaon,DLF Phase 3,28.4923840000,77.0943256000,Rs.,Budget,North Indian,Poor,Has Delivery
The Baker's Bar  ... Bakery & Cafe,"Italian, Lebanese, Fast Food, Bakery",400,0,0,1,3.6,Good,29,Gurgaon,DLF Phase 3,28.4908874288,77.0933379605,Rs.,Budget,Italian,Good,No Delivery
Crazy Bhukkhad,"North Indian, Chinese",400,1,0,1,3.9,Good,54,Gurgaon,DLF Phase 3,28.4896545000,77.0924646000,Rs.,Budget,North Indian,Good,Has Delivery
Volt - By Plan B,"Mediterranean, Mughlai, Thai, North Indian, Chinese",1000,0,1,3,3.5,Good,19,Gurgaon,DLF Phase 3,28.4957118000,77.1021761000,Rs.,Premium,Mediterranean,Good,No Delivery
Dabba Meat,North Indian,550,1,0,2,3.4,Average,29,Gurgaon,DLF Phase 3,28.4906544000,77.0930322000,Rs.,Moderate,North Indian,Average,Has Delivery
Surprise O Meal,"Continental, North Indian, Chinese",550,1,0,2,3.4,Average,35,Gurgaon,DLF Phase 3,28.4911924000,77.0935436000,Rs.,Moderate,Continental,Average,Has Delivery
Tandoor on The Way,Fast Food,300,1,0,1,3.2,Average,45,Gurgaon,DLF Phase 3,28.4931646000,77.0935436000,Rs.,Budget,Fast Food,Average,Has Delivery
Jetha Lal Ka Dhabha,"North Indian, Chinese",400,1,0,1,3.1,Average,53,Gurgaon,DLF Phase 3,28.4933281674,77.0950307697,Rs.,Budget,North Indian,Average,Has Delivery
China Gatherings,"Chinese, Thai",550,1,0,2,3.5,Good,46,Gurgaon,DLF Phase 3,28.4902409000,77.0939033000,Rs.,Moderate,Chinese,Good,Has Delivery
Tawa N Tandoor,"North Indian, Mughlai, Chinese",600,1,0,2,2.7,Average,51,Gurgaon,DLF Phase 3,28.4928519000,77.0944877000,Rs.,Moderate,North Indian,Poor,Has Delivery
Roll's Royce,"Fast Food, North Indian",200,1,0,1,3.2,Average,42,Gurgaon,DLF Phase 3,28.4934594000,77.0938134000,Rs.,Budget,Fast Food,Average,Has Delivery
Veg Ex,North Indian,500,1,0,2,3.8,Good,45,Gurgaon,DLF Phase 3,28.4879232000,77.1036643000,Rs.,Moderate,North Indian,Good,Has Delivery
Instapizza,"Pizza, Fast Food",900,1,1,2,3.6,Good,426,Gurgaon,"DLF Galleria, DLF Phase 4",28.4675040000,77.0821234000,Rs.,Moderate,Pizza,Good,Has Delivery
Bunker,"Continental, North Indian, Chinese, Italian",1300,0,1,3,4.2,Very Good,248,Gurgaon,"Cross Point Mall, DLF Phase 4",28.4682267000,77.0831126000,Rs.,Premium,Continental,Very Good,No Delivery
Purani Dilli's Al Karam Kebab House,"North Indian, Mughlai, Biryani",950,1,0,2,3.4,Average,483,Gurgaon,"Supermart 1, DLF Phase 4",28.4624312613,77.0872952789,Rs.,Moderate,North Indian,Average,Has Delivery
Khyen Chyen,Kashmiri,800,1,1,2,3.7,Good,364,Gurgaon,"Cross Point Mall, DLF Phase 4",28.4683741000,77.0832475000,Rs.,Moderate,Kashmiri,Good,Has Delivery
Cafe Soul Garden,"Cafe, Continental, Italian, Pizza",1300,1,1,3,4.1,Very Good,255,Gurgaon,DLF Phase 4,28.4616072000,77.0888677000,Rs.,Premium,Cafe,Very Good,Has Delivery
Bernardo's,Goan,2000,1,1,4,4.0,Very Good,429,Gurgaon,"Supermart 1, DLF Phase 4",28.4626259000,77.0873390000,Rs.,Luxury,Goan,Very Good,Has Delivery
Rollmaal,"Fast Food, North Indian, Chinese",500,1,0,2,3.4,Average,346,Gurgaon,"Supermart 1, DLF Phase 4",28.4623829000,77.0876088000,Rs.,Moderate,Fast Food,Average,Has Delivery
Delhicacy,"Street Food, Fast Food, North Indian",350,1,0,1,3.8,Good,317,Gurgaon,"DLF Galleria, DLF Phase 4",28.4674317000,77.0823032000,Rs.,Budget,Street Food,Good,Has Delivery
Tughlaq,"North Indian, Mughlai, Chinese, Seafood",1000,1,0,3,3.5,Good,351,Gurgaon,"Cross Point Mall, DLF Phase 4",28.4684413628,77.0839096606,Rs.,Premium,North Indian,Good,Has Delivery
Escape Terrace Bar Kitchen,Finger Food,1700,0,1,3,3.4,Average,294,Gurgaon,"DLF Galleria, DLF Phase 4",28.4671541000,77.0822133000,Rs.,Premium,Finger Food,Average,No Delivery
Chef Style,"North Indian, Mughlai",700,1,1,2,3.8,Good,239,Gurgaon,"DLF Galleria, DLF Phase 4",28.4673798000,77.0817637000,Rs.,Moderate,North Indian,Good,Has Delivery
Uptown Fresh Beer Cafe,"Finger Food, North Indian, Italian, European, Continental",2500,0,0,4,4.1,Very Good,230,Gurgaon,"DLF Galleria, DLF Phase 4",28.4675073000,77.0812241000,Rs.,Luxury,Finger Food,Very Good,No Delivery
Happy Hakka,"Chinese, Asian, Thai",650,1,0,2,4.1,Very Good,134,Gurgaon,DLF Phase 4,28.4615700000,77.0880135000,Rs.,Moderate,Chinese,Very Good,Has Delivery
Nowhere Terrace Brewpub Cafe,"Continental, European, Asian, North Indian, Chinese, Italian",1600,0,1,3,4.1,Very Good,214,Gurgaon,"Cross Point Mall, DLF Phase 4",28.4683140000,77.0830480000,Rs.,Premium,Continental,Very Good,No Delivery
Kaiser,"North Indian, Mughlai",650,1,0,2,4.1,Very Good,152,Gurgaon,DLF Phase 4,28.4614700000,77.0887060000,Rs.,Moderate,North Indian,Very Good,Has Delivery
Nosh,"North Indian, Mughlai",700,1,0,2,4.1,Very Good,103,Gurgaon,"Supermart 1, DLF Phase 4",28.4625905000,77.0871573000,Rs.,Moderate,North Indian,Very Good,Has Delivery
Di Ghent Boulangerie,"Cafe, Belgian",1700,0,0,3,3.9,Good,231,Gurgaon,"Cross Point Mall, DLF Phase 4",28.4683682686,77.0835375041,Rs.,Premium,Cafe,Good,No Delivery
Cafe Gatherings,"Cafe, Continental",750,1,0,2,4.4,Very Good,161,Gurgaon,DLF Phase 4,28.4622589000,77.0875226000,Rs.,Moderate,Cafe,Very Good,Has Delivery
Big Wong XL,"Chinese, Thai, Sushi",1500,1,1,3,4.0,Very Good,162,Gurgaon,"Cross Point Mall, DLF Phase 4",28.4681716000,77.0834723000,Rs.,Premium,Chinese,Very Good,Has Delivery
Biryani Art,"Hyderabadi, North Indian, Biryani",1100,1,1,3,4.1,Very Good,344,Gurgaon,"Supermart 1, DLF Phase 4",28.4625602000,77.0870678000,Rs.,Premium,Hyderabadi,Very Good,Has Delivery
Whisky Samba,"Italian, Burger, Charcoal Grill",2500,0,1,4,3.8,Good,127,Gurgaon,"Two Horizon Center, Golf Course Road",28.4510417549,77.0968855172,Rs.,Luxury,Italian,Good,No Delivery
Chinese Corner,"Chinese, Thai",500,1,0,2,3.6,Good,369,Gurgaon,"Vyapar Kendra, Sushant Lok",28.4597873000,77.0839219000,Rs.,Moderate,Chinese,Good,Has Delivery
Captain Grub,"American, Fast Food",1000,1,0,3,3.8,Good,447,Gurgaon,DLF Phase 1,28.4660588000,77.0997478000,Rs.,Premium,American,Good,Has Delivery
Qureshi's Kabab Corner,"North Indian, Mughlai",650,0,0,2,4.0,Very Good,398,Gurgaon,"Shopping Mall, DLF Phase 1",28.4661404000,77.0992642000,Rs.,Moderate,North Indian,Very Good,No Delivery
Side Wok,"Burmese, Chinese, Japanese, Malaysian, Thai",2000,1,1,4,3.9,Good,280,Gurgaon,Golf Course Road,28.4549192000,77.0971853000,Rs.,Luxury,Burmese,Good,Has Delivery
Karim's,"Mughlai, North Indian",1000,1,1,3,2.8,Average,261,Gurgaon,"Global Foyer Mall, Golf Course Road",28.4603029000,77.0948924000,Rs.,Premium,Mughlai,Poor,Has Delivery
Coffee & Chai Co.,"Italian, Mexican, Cafe",1100,1,1,3,3.6,Good,296,Gurgaon,"DLF South Point Mall, Golf Course Road",28.4480264000,77.0992156000,Rs.,Premium,Italian,Good,Has Delivery
Mediumwelldone,"American, European, North Indian",1800,1,1,3,3.5,Good,259,Gurgaon,"DLF South Point Mall, Golf Course Road",28.4476522000,77.0994781000,Rs.,Premium,American,Good,Has Delivery
Sibang Bakery,"Bakery, Desserts, Beverages",500,1,0,2,4.1,Very Good,227,Gurgaon,"DLF South Point Mall, Golf Course Road",28.4472358000,77.0993432000,Rs.,Moderate,Bakery,Very Good,Has Delivery
Cafe Amaretto,"Cafe, Italian, European, Bakery",1400,1,1,3,4.1,Very Good,147,Gurgaon,"DLF South Point Mall, Golf Course Road",28.4481557000,77.0991184000,Rs.,Premium,Cafe,Very Good,Has Delivery
Haldiram's,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,0,0,2,3.6,Good,185,Gurgaon,"MGF Metropolitan Mall, MG Road",28.4807292000,77.0802798000,Rs.,Moderate,North Indian,Good,No Delivery
Ion Club & Dining Lounge,"Continental, North Indian, Mughlai, Chinese",1800,0,1,3,2.6,Average,115,Gurgaon,MG Road,28.4796910000,77.0885980000,Rs.,Premium,Continental,Poor,No Delivery
Queens Café,"Cafe, North Indian",900,0,1,2,4.0,Very Good,62,Gurgaon,"MGF Metropolitan Mall, MG Road",28.4805091000,77.0801793000,Rs.,Moderate,Cafe,Very Good,No Delivery
Sage,"Pizza, Italian",900,0,0,2,3.5,Good,205,Gurgaon,"MGF Metropolitan Mall, MG Road",28.4805204000,77.0801226000,Rs.,Moderate,Pizza,Good,No Delivery
I-Kandy - Le Meridien Gurgaon,Finger Food,4500,0,1,4,3.6,Good,218,Gurgaon,"Le Meridien Gurgaon, MG Road",28.4812640000,77.1087266000,Rs.,Luxury,Finger Food,Good,No Delivery
Bella Cucina - Le Meridien Gurgaon,Italian,4000,0,1,4,4.1,Very Good,38,Gurgaon,"Le Meridien Gurgaon, MG Road",28.4812481000,77.1087258000,Rs.,Luxury,Italian,Very Good,No Delivery
Tibb's Frankie,Fast Food,350,0,0,1,3.4,Average,118,Gurgaon,"MGF Metropolitan Mall, MG Road",28.4803207000,77.0801851000,Rs.,Budget,Fast Food,Average,No Delivery
Phantom,"North Indian, Continental, Chinese",1500,0,1,3,3.5,Good,55,Gurgaon,"MGF Metropolitan Mall, MG Road",28.4808594000,77.0802349000,Rs.,Premium,North Indian,Good,No Delivery
Shree Rathnam,"South Indian, North Indian, Chinese",800,1,0,2,2.9,Average,108,Gurgaon,"DT City Centre Mall, MG Road",28.4787511000,77.0806845000,Rs.,Moderate,South Indian,Poor,Has Delivery
Mr Idli Xpress,"South Indian, Chinese",450,0,0,1,2.6,Average,120,Gurgaon,"MGF Metropolis Mall, MG Road",28.4792539000,77.0817187000,Rs.,Budget,South Indian,Poor,No Delivery
Power Play Resto Bar,"North Indian, American, Italian",1850,0,1,3,2.8,Average,91,Gurgaon,"JMD Regent Arcade Mall, MG Road",28.4797315000,77.0885530000,Rs.,Premium,North Indian,Poor,No Delivery
Suburbia - The Empire,"Continental, European, North Indian",1800,0,1,3,2.1,Poor,90,Gurgaon,"MGF Metropolitan Mall, MG Road",28.4811283000,77.0802349000,Rs.,Premium,Continental,Poor,No Delivery
Starbucks,Cafe,700,0,0,2,3.5,Good,66,Gurgaon,"MGF Metropolis Mall, MG Road",28.4791426000,77.0818667000,Rs.,Moderate,Cafe,Good,No Delivery
McDonald's,"Fast Food, Burger",500,0,0,2,3.2,Average,68,Gurgaon,"MGF Metropolis Mall, MG Road",28.4794470000,77.0818967000,Rs.,Moderate,Fast Food,Average,No Delivery
E Yum,"Continental, Italian, Mexican",750,1,0,2,3.4,Average,69,Gurgaon,MG Road,28.4777318690,77.1003184095,Rs.,Moderate,Continental,Average,Has Delivery
Daikichi,Japanese,1000,0,1,3,3.6,Good,70,Gurgaon,"JMD Regent Arcade Mall, MG Road",28.4797893000,77.0886879000,Rs.,Premium,Japanese,Good,No Delivery
Pita Pan,"Arabian, Lebanese",600,1,0,2,3.1,Average,82,Gurgaon,MG Road,28.4805094000,77.0803248000,Rs.,Moderate,Arabian,Average,Has Delivery
buéno,"Cafe, American, Desserts, Italian, Bakery",650,1,0,2,3.7,Good,18,Gurgaon,"MGF Metropolis Mall, MG Road",28.4783980000,77.0816737000,Rs.,Moderate,Cafe,Good,Has Delivery
South Store,South Indian,200,0,0,1,3.5,Good,64,Gurgaon,Sector 14,28.4743176000,77.0475378000,Rs.,Budget,South Indian,Good,No Delivery
Madras Cafe,"South Indian, North Indian, Chinese, Fast Food",300,0,0,1,3.3,Average,69,Gurgaon,Sector 14,28.4766290000,77.0456073000,Rs.,Budget,South Indian,Average,No Delivery
Masala Fusion,"North Indian, Chinese",600,1,0,2,3.2,Average,52,Gurgaon,Sector 14,28.4740845000,77.0424589000,Rs.,Moderate,North Indian,Average,Has Delivery
Konetto Pizza,Pizza,150,0,0,1,3.5,Good,32,Gurgaon,Sector 14,28.4783985000,77.0462096000,Rs.,Budget,Pizza,Good,No Delivery
Captain's Table,"Bakery, Desserts",200,0,0,1,3.1,Average,41,Gurgaon,Sector 14,28.4740266000,77.0474607000,Rs.,Budget,Bakery,Average,No Delivery
KB's Kulfi & Icecream,Ice Cream,200,1,0,1,3.3,Average,43,Gurgaon,Sector 14,28.4754869000,77.0439881000,Rs.,Budget,Ice Cream,Average,Has Delivery
Romi Da Dhaba,North Indian,450,0,0,1,3.2,Average,34,Gurgaon,Sector 14,28.4750589000,77.0432685000,Rs.,Budget,North Indian,Average,No Delivery
Ridhi Sidhi,"North Indian, Chinese, South Indian",500,1,0,2,3.0,Average,30,Gurgaon,Sector 14,28.4703532000,77.0203920000,Rs.,Moderate,North Indian,Average,Has Delivery
Cake Factory,"Bakery, Desserts",300,1,0,1,3.3,Average,36,Gurgaon,Sector 14,28.4703517000,77.0204025000,Rs.,Budget,Bakery,Average,Has Delivery
Cafe Coffee Day,Cafe,450,0,0,1,2.8,Average,34,Gurgaon,Sector 14,28.4775051000,77.0463270000,Rs.,Budget,Cafe,Poor,No Delivery
Juice Lounge,"Beverages, Fast Food",350,0,0,1,3.4,Average,25,Gurgaon,Sector 14,28.4694139000,77.0445066000,Rs.,Budget,Beverages,Average,No Delivery
Madurai Meenakshi Bhawan,"South Indian, North Indian",300,0,0,1,3.4,Average,25,Gurgaon,Sector 14,28.4740911000,77.0473507000,Rs.,Budget,South Indian,Average,No Delivery
Indian & Chinese Corner,"North Indian, Chinese",400,0,0,1,3.1,Average,21,Gurgaon,Sector 14,28.4730599000,77.0480560000,Rs.,Budget,North Indian,Average,No Delivery
The Plaza Solitaire,"North Indian, Mughlai, Chinese, South Indian",900,0,1,2,3.3,Average,32,Gurgaon,Sector 14,28.4751457000,77.0441680000,Rs.,Moderate,North Indian,Average,No Delivery
The Atrium - By Jukaso It Suites,"Asian, Bakery",1500,0,1,3,2.8,Average,21,Gurgaon,"Jukaso It Suites, Sector 14",28.4725545000,77.0536264000,Rs.,Premium,Asian,Poor,No Delivery
Chef Sack Kitchen,"Mexican, Lebanese, Italian, Continental, Thai",500,0,0,2,3.1,Average,7,Gurgaon,Sector 14,0.0000000000,0.0000000000,Rs.,Moderate,Mexican,Average,No Delivery
G Dot,"North Indian, South Indian, Chinese",400,1,0,1,2.4,Poor,26,Gurgaon,Sector 14,28.4785399000,77.0338227000,Rs.,Budget,North Indian,Poor,Has Delivery
The Bar - Trident Gurgaon,Finger Food,2000,0,0,4,3.3,Average,36,Gurgaon,"Trident, Udyog Vihar",28.5022869000,77.0867995000,Rs.,Luxury,Finger Food,Average,No Delivery
Konomi - Trident Gurgaon,Japanese,3000,0,0,4,3.5,Good,27,Gurgaon,"Trident, Udyog Vihar",28.5022869000,77.0867995000,Rs.,Luxury,Japanese,Good,No Delivery
Citrus Cafe - Lemon Tree Hotel,Cafe,2000,0,0,4,2.7,Average,27,Gurgaon,Udyog Vihar,28.5026368000,77.0867096000,Rs.,Luxury,Cafe,Poor,No Delivery
Big Shot Bar - Country Inn & Suites,"Chinese, Italian, North Indian",2200,0,1,4,3.5,Good,32,Gurgaon,"Country Inn & Suites By Carlson, Udyog Vihar",28.5092246000,77.0918351000,Rs.,Luxury,Chinese,Good,No Delivery
Green Hut,"North Indian, Chinese, Fast Food",600,0,0,2,2.8,Average,23,Gurgaon,Udyog Vihar,28.5004986000,77.0753139000,Rs.,Moderate,North Indian,Poor,No Delivery
World Art Cafe,Cafe,500,0,0,2,3.3,Average,10,Gurgaon,Udyog Vihar,28.5120417000,77.0842434000,Rs.,Moderate,Cafe,Average,No Delivery
Riders Hub,"Chinese, Continental, North Indian",800,0,1,2,3.1,Average,11,Gurgaon,Udyog Vihar,28.4991724000,77.0879685000,Rs.,Moderate,Chinese,Average,No Delivery
The Gr8 Taste of India,"North Indian, Fast Food",400,1,0,1,3.0,Average,10,Gurgaon,Udyog Vihar,28.4975584000,77.0867524000,Rs.,Budget,North Indian,Average,Has Delivery
Raj Xpresso,"North Indian, Chinese",650,0,0,2,2.9,Average,13,Gurgaon,Udyog Vihar,28.5063910000,77.0838350000,Rs.,Moderate,North Indian,Poor,No Delivery
Shivani Catering Services,"North Indian, Chinese",500,0,0,2,3.1,Average,17,Gurgaon,Udyog Vihar,28.5011252000,77.0728605000,Rs.,Moderate,North Indian,Average,No Delivery
The Diet Kitchen,"Continental, Healthy Food",700,1,0,2,3.3,Average,7,Gurgaon,Udyog Vihar,28.5009896000,77.0835622000,Rs.,Moderate,Continental,Average,Has Delivery
Chokola,"Bakery, Desserts, Bakery",700,0,0,2,3.1,Average,6,Gurgaon,Udyog Vihar,28.5109714000,77.0801390000,Rs.,Moderate,Bakery,Average,No Delivery
PiccoLicko,Desserts,200,1,0,1,3.3,Average,12,Gurgaon,Udyog Vihar,28.4875966000,77.0652612000,Rs.,Budget,Desserts,Average,Has Delivery
XLNC Bakers,Bakery,150,0,0,1,2.9,Average,4,Gurgaon,Udyog Vihar,28.5140563000,77.0801000000,Rs.,Budget,Bakery,Poor,No Delivery
