name,cuisines,avg_cost_for_two,has_online_delivery,has_table_booking,price_range,aggregate_rating,rating_text,votes,city,locality,latitude,longitude,currency,price_label,primary_cuisine,rating_cat,delivery_label
RPM,Finger Food,1800,0,1,3,2.4,Poor,92,New Delhi,"Basant Lok Market, Vasant Vihar",28.5575656121,77.1641677245,Rs.,Premium,Finger Food,Poor,No Delivery
Paatra - Jaypee Vasant Continental,"North Indian, Mughlai",2500,0,1,4,3.5,Good,79,New Delhi,"Jaypee Vasant Continental, Vasant Vihar",28.5565034668,77.1644376228,Rs.,Luxury,North Indian,Good,No Delivery
Sugar & Spice - Le Marche,"Bakery, Fast Food",800,0,0,2,3.0,Average,67,New Delhi,"Basant Lok Market, Vasant Vihar",28.5573577052,77.1638324484,Rs.,Moderate,Bakery,Average,No Delivery
Vedanta's,"North Indian, Chinese",650,0,0,2,2.7,Average,66,New Delhi,Munirka,28.5563192000,77.1718939000,Rs.,Moderate,North Indian,Poor,No Delivery
Ano Tai - Jaypee Vasant Continental,Chinese,2500,0,1,4,3.4,Average,64,New Delhi,"Jaypee Vasant Continental, Vasant Vihar",28.5565034668,77.1644376228,Rs.,Luxury,Chinese,Average,No Delivery
Barista,Cafe,650,1,0,2,3.3,Average,47,New Delhi,Vasant Vihar,28.5570529116,77.1640798822,Rs.,Moderate,Cafe,Average,Has Delivery
Spice Deli,"North Indian, Chinese",1100,1,1,3,3.3,Average,52,New Delhi,Vasant Vihar,28.5578640000,77.1642720000,Rs.,Premium,North Indian,Average,Has Delivery
Asian Chopstick,"Chinese, Thai",400,0,0,1,3.5,Good,27,New Delhi,Munirka,28.5531280000,77.1686131000,Rs.,Budget,Chinese,Good,No Delivery
Anupam Restaurant,"North Indian, Chinese",500,1,0,2,2.3,Poor,32,New Delhi,Munirka,28.5581547000,77.1732311000,Rs.,Moderate,North Indian,Poor,Has Delivery
Uncle Tom's Steamed Hot Dogs,Fast Food,200,0,0,1,3.3,Average,40,New Delhi,Vasant Vihar,28.5576166667,77.1641916667,Rs.,Budget,Fast Food,Average,No Delivery
Take Away,Chinese,400,0,0,1,2.9,Average,20,New Delhi,Munirka,28.5568750000,77.1717215000,Rs.,Budget,Chinese,Poor,No Delivery
